job title,company name,location,salary,type of employment,skills,links
PHP Developer,Dimofinf Operations Center -,"Nasr City, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · Engineering · PHP · MySQL · Software Development · Laravel · RESTful APIs,https://wuzzuf.net/jobs/p/Isn71XCsc10T-PHP-Developer-Dimofinf-Operations-Center-Cairo-Egypt?o=1&l=sp&t=sj&a=php|search-v3|hpb
Senior Full Stack PHP Developer,"Izam, inc. -","Mohandessin, Giza, Egypt ",Confidential,"['Full Time', 'Work From Home']",Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Database · Computer Science · PHP · JavaScript · Software Development · MVC · Git · Code Versioning,https://wuzzuf.net/jobs/p/2WXwHvmdF4un-Senior-Full-Stack-PHP-Developer-Izam-inc-Giza-Egypt?o=2&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Developer,Egpay -,"Nasr City, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Startup · SOAP · Laravel · GIT · AngularJS · RESTful · Java · javaScript,https://wuzzuf.net/jobs/p/jlsGAUrVoWeD-Senior-PHP-Developer-Egpay-Cairo-Egypt?o=3&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Developer (Laravel),Our Education -,"Nasr City, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Computer Science · Laravel · HTML5 · CSS3 · MVC · Programming · javaScript,https://wuzzuf.net/jobs/p/qFXsjongGwH6-Senior-PHP-Developer-Laravel-Our-Education-Cairo-Egypt?o=4&l=sp&t=sj&a=php|search-v3|hpb
PHP Software Engineering Manager,Confidential -,"Nasr City, Cairo, Egypt ",Confidential,['Full Time'],Manager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Mobile Development · Software Development · Android SDK · Android Studio · Computer Science · Information Technology (IT) · Engineering,https://wuzzuf.net/jobs/p/QkcQ5uhc5LYs-PHP-Software-Engineering-Manager-Cairo-Egypt?o=5&l=sp&t=sj&a=php|search-v3|hpb
PHP Software Engineering Lead,Confidential -,"Nasr City, Cairo, Egypt ",Confidential,['Full Time'],Manager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Mobile Development · Software Development · Android SDK · Android Studio · Computer Science · Information Technology (IT) · Engineering,https://wuzzuf.net/jobs/p/JjvhpDSc6n30-PHP-Software-Engineering-Lead-Cairo-Egypt?o=6&l=sp&t=sj&a=php|search-v3|hpb
PHP Developer,DMS -,"Heliopolis, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Development · PHP · Software · Software Development · APIs · AWS,https://wuzzuf.net/jobs/p/H6HjZSS8hPQ2-PHP-Developer-DMS-Cairo-Egypt?o=7&l=sp&t=sj&a=php|search-v3|hpb
PHP Back End Developer,Jumia -,"New Cairo, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Information Technology (IT) · Computer Science · Software Development · Laravel · javaScript · MySQL · Symfony,https://wuzzuf.net/jobs/p/yXD50pZls8tk-PHP-Back-End-Developer-Jumia-Cairo-Egypt?o=8&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Developer,Confidential -,"Heliopolis, Cairo, Egypt ","Confidential, Bonuses On Quality","['Full Time', 'Work From Home']",Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · javaScript · HTML · CSS · jQuery · Software Development · Information Technology (IT) · Open Source CMS,https://wuzzuf.net/jobs/p/EbbkZ5EbXImS-Senior-PHP-Developer-Cairo-Egypt?o=9&l=sp&t=sj&a=php|search-v3|hpb
Talented PHP Developer,Elev8Assessments -,"Giza, Egypt ","Confidential, Salary: Subject to experience and availability","['Full Time', 'Work From Home']",Experienced · 3 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · jQuery · Laravel · PHP · Computer Science · HTML · CSS · Git,https://wuzzuf.net/jobs/p/neTTatlYfuny-Talented-PHP-Developer-Elev8Assessments-Giza-Egypt?o=10&l=sp&t=sj&a=php|search-v3|hpb
PHP Specialist,LINK Development -,"Maadi, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Linux · PHP · SQL · OOP · Symphony · Laravel · WordPress · Drupal,https://wuzzuf.net/jobs/p/zq397t4kxmuo-PHP-Specialist-LINK-Development-Cairo-Egypt?o=11&l=sp&t=sj&a=php|search-v3|hpb
Wordpress/PHP Developer,Everlast -,"Heliopolis, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · back-end · Computer Science · CSS · HTML · Information Technology (IT) · Software Development · Software Engineering,https://wuzzuf.net/jobs/p/D7FRVl43EScF-WordpressPHP-Developer-Everlast-Cairo-Egypt?o=12&l=sp&t=sj&a=php|search-v3|hpb
WordPress / PHP Developer,Dexef -,"Quweisna, Monufya, Egypt ",Confidential,['Full Time'],Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CSS · HTML · Information Technology (IT) · PHP · Plugins · jQuery · Software Development · WordPress,https://wuzzuf.net/jobs/p/N7RwNo3i8Ui5-WordPress-PHP-Developer-Dexef-Monufya-Egypt?o=13&l=sp&t=sj&a=php|search-v3|hpb
Sr. PHP Developer,Confidential -,"Downtown, Cairo, Egypt ",Confidential,"['Full Time', 'Work From Home']",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Computer Science · Information Technology (IT) · Software Development · Software · Engineering · HTML5 · jQuery,https://wuzzuf.net/jobs/p/VAIs7w0Ch0K1-Sr-PHP-Developer-Cairo-Egypt?o=14&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Web Developer,Arabia for Information Technology -,"Cairo, Egypt ",Confidential,['Full Time'],Experienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · PHP · Web Development · Computer Engineering · Computer Science · Software Development · Web Application Design · Laravel,https://wuzzuf.net/jobs/p/Ti9KwAnGifB1-Senior-PHP-Web-Developer-Arabia-for-Information-Technology-Cairo-Egypt?o=15&l=sp&t=sj&a=php|search-v3|hpb
PHP Full Stack Developer (Laravel / Vue),IT-Gates -,"Cairo, Egypt ",Confidential,['Full Time'],Experienced · 1 - 2 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS3 · Git · HTML5 · Information Technology (IT) · JavaScript · Laravel,https://wuzzuf.net/jobs/p/seYN88VzhQtb-PHP-Full-Stack-Developer-Laravel-Vue-IT-Gates-Cairo-Egypt?o=16&l=sp&t=sj&a=php|search-v3|hpb
PHP Backend Developer,Restart Technology -,"Heliopolis, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · laravel · Git · REST · Backend · MySQL · PHP,https://wuzzuf.net/jobs/p/nhkMI94ZD4Qt-PHP-Backend-Developer-Restart-Technology-Cairo-Egypt?o=17&l=sp&t=sj&a=php|search-v3|hpb
