job title,company name,location,salary,type of employment,skills,links
Python Or Electron Framework Developer (Knowledge Survivor - Desktop Application),ItsTime -,"Oakville, Canada ","Confidential, New startup! 
We intend to pay roughly 100 Egyptian pounds per hour.  We will also give ownership of shares in company for someone who is highly interested and motivated.  May transition to full time","['Part Time', 'Freelance / Project']",Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · UI · Computer Science · Information Technology (IT) · Software Development · GTK · English · Software Engineering,https://wuzzuf.net/jobs/p/6kmqfkoQ34Fi-Python-Or-Electron-Framework-Developer-Knowledge-Survivor---Desktop-Application-ItsTime-Oakville-Canada?o=1&l=sp&t=sj&a=python|search-v3|navbg
Senior Python Developer,CLOUDSIGMA AG -,"Sofia, Bulgaria ",Confidential,['Full Time'],Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python3 · Relational Databases · Celery · VMWare · Django · Continous Integration · Test Driven Development · HTTP,https://wuzzuf.net/jobs/p/bjKrYXddLwLG-Senior-Python-Developer-CLOUDSIGMA-AG-Sofia-Bulgaria?o=2&l=sp&t=sj&a=python|search-v3|navbg
Flask Python Developer,Cyber security  Company -,"Cairo, Egypt ",7000 to 8000 EGP Per Month,['Internship'],Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Flask · Python · Software Development · Computer Science · Information Technology (IT),https://wuzzuf.net/internship/LGTfqNjP6gc7-Flask-Python-Developer-Cyber-security-Company-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|navbg
Senior Python Django Developer,Mentor Seven -,"New Cairo, Cairo, Egypt ",10000 to 15000 EGP Per Month,['Full Time'],Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Python · Python Django · Software Development · Information Technology (IT) · ORM · Telecom Engineering,https://wuzzuf.net/jobs/p/cwxs7KB0EFeK-Senior-Python-Django-Developer-Mentor-Seven-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|navbg
Senior Python Backend Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt ","Confidential, Hourly based","['Full Time', 'Work From Home']",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),https://wuzzuf.net/jobs/p/ZS2AZ15Zb6gT-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|navbg
Python Developer for Sports Statistics.,Fekra Technology Solutions and Construction -,"Dokki, Giza, Egypt ",25000 to 35000 EGP Per Month,"['Full Time', 'Work From Home']",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · ETL · Python · SQL · Information Technology (IT),https://wuzzuf.net/jobs/p/d3zIKes35LZX-Python-Developer-for-Sports-Statistics-Fekra-Technology-Solutions-and-Construction-Giza-Egypt?o=6&l=sp&t=sj&a=python|search-v3|navbg
Senior / Mid Senior Python (Django) Developer,InnovaDigits -,"Mansoura, Dakahlia, Egypt ","Confidential, - Medical insurance",['Full Time'],Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Python · AWS · Docker · Software Development · Information Technology (IT) · MySQL,https://wuzzuf.net/jobs/p/rpANthPLGT2M-Senior-Mid-Senior-Python-Django-Developer-InnovaDigits-Dakahlia-Egypt?o=7&l=sp&t=sj&a=python|search-v3|navbg
Senior Python Developer,Stackzy -,"6th of October, Giza, Egypt ",Confidential,['Full Time'],Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Python · Databases · Software Development · Data Processing · airflow · Cloud · Computer Science,https://wuzzuf.net/jobs/p/k7LetgYe0WZg-Senior-Python-Developer-Stackzy-Giza-Egypt?o=8&l=sp&t=sj&a=python|search-v3|navbg
Python Backend Developer,Bydotpy -,"New Cairo, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · RESTful API · Computer Science · Computer Engineering · Software Development · Information Technology (IT),https://wuzzuf.net/jobs/p/A1z5DK0essUs-Python-Backend-Developer-Bydotpy-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|navbg
Senior Python Engineer,El-Sewedy Electrometer -,"6th of October, Giza, Egypt ","Confidential, Medical & Social & Life Insurance - Monthly Or Annually Variable Incentive - Transportation Allowance",['Full Time'],Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · MySQL · Linux · Information Technology (IT) · SQL · jQuery · Programming,https://wuzzuf.net/jobs/p/ohFtakW4EZWa-Senior-Python-Engineer-El-Sewedy-Electrometer-Giza-Egypt?o=10&l=sp&t=sj&a=python|search-v3|navbg
Python Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Confidential,['Full Time'],Entry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development · CSS · Design,https://wuzzuf.net/jobs/p/TEXsA8hxgzA7-Python-Developer-OdooTec-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|navbg
Senior Python / Django Developer,RDI -,"Dokki, Giza, Egypt ",Confidential,['Full Time'],Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · MySQL · GIT · Docker · javaScript · Angular · RESTful APIs,https://wuzzuf.net/jobs/p/4yZylKxIEYZb-Senior-Python-Django-Developer-RDI-Giza-Egypt?o=12&l=sp&t=sj&a=python|search-v3|navbg
Senior Python Developer,Trufla -,"Heliopolis, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Linux · Python · REST,https://wuzzuf.net/jobs/p/6Yzv3ZC4RcGO-Senior-Python-Developer-Trufla-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|navbg
Full Stack Developer,Remote Platz -,"Cairo, Egypt ",Confidential,"['Full Time', 'Work From Home']",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · fulll-stack · JavaScript · Vue.js · Python · Django · Node.js · Information Technology (IT) · HTML,https://wuzzuf.net/jobs/p/0jtWjsuV6i7L-Full-Stack-Developer-Remote-Platz-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|navbg
"Solutions Engineer (Frontend, React)",Remotecoders -,"Cairo, Egypt ",3000 to 4000 CHF Per Month,['Full Time'],Entry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front end · Information Technology (IT) · Software Development · Front end developer · React · Computer Engineering · Computer Science · CSS,https://wuzzuf.net/jobs/p/51ZoQFUXmzBp-Solutions-Engineer-Frontend-React-Remotecoders-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|navbg
SRE & Support Engineer,Cegedim -,"New Cairo, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Jira · Saltstack · Jenkins · Linux · Oracle · MongoDB · Bash · Powershell,https://wuzzuf.net/jobs/p/8WvYpUq5JGNY-SRE-Support-Engineer-Cegedim-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|navbg
DevOps/ProdOPS Engineer,Cegedim -,"New Cairo, Cairo, Egypt ","Confidential, Bonus, Medical insurance, Social Insurance, Learning plans",['Full Time'],Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · DevOps · ProdOPS · Gradle · Git · Openshift,https://wuzzuf.net/jobs/p/m0PaYcX33que-DevOpsProdOPS-Engineer-Cegedim-Cairo-Egypt?o=17&l=sp&t=sj&a=python|search-v3|navbg
Cyber Security Engineer,axispay -,"Cairo, Egypt ",Confidential,['Full Time'],Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Cyber Security · Computer Science · Microsoft Office · Security · Python · SIEM,https://wuzzuf.net/jobs/p/Coh0q91oPwVu-Cyber-Security-Engineer-axispay-Cairo-Egypt?o=18&l=sp&t=sj&a=python|search-v3|navbg
Technical Artist,Limbic Entertainment (Cairo Office) -,"Sheraton, Cairo, Egypt ",Confidential,['Full Time'],Entry Level · 1+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Unreal Engine · Game development · Scripting · VFX · Autodesk Maya · Autodesk 3ds Max · Adobe Photoshop · Python,https://wuzzuf.net/jobs/p/9v4Tbqc4DwSy-Technical-Artist-Limbic-Entertainment-Cairo-Office-Cairo-Egypt?o=19&l=sp&t=sj&a=python|search-v3|navbg
Senior System Operation Engineer,Kashier Payment Solutions -,"Zamalek, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · OpenShift · Linux Varietal · Docker · Tomcat · Hyper-V · Python · Computer Engineering · Troubleshooting,https://wuzzuf.net/jobs/p/VYtC3q1loeqf-Senior-System-Operation-Engineer-Kashier-Payment-Solutions-Cairo-Egypt?o=20&l=sp&t=sj&a=python|search-v3|navbg
Data Science Supervisor,Raya Customer Experience -,"6th of October, Giza, Egypt ",Confidential,['Full Time'],Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · BI · Analysis · SQL · Data · ETL · Information Technology (IT) · Programming · MySQL,https://wuzzuf.net/jobs/p/ZuPAyVt9b0Xd-Data-Science-Supervisor-Raya-Customer-Experience-Giza-Egypt?o=21&l=sp&t=sj&a=python|search-v3|navbg
Odoo Developer,Target Recruitment  & HR Solutions  -,"Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Odoo Developer · Python · developer · Computer Science · Information Technology (IT) · Integration,https://wuzzuf.net/jobs/p/50lfpWwbd69d-Odoo-Developer-Target-Recruitment-HR-Solutions-Cairo-Egypt?o=22&l=sp&t=sj&a=python|search-v3|navbg
